label,text,text_clean
ham,Cool. So how come you havent been wined and dined before?,cool. so how come you havent been wined and dined before?
ham,Huh so late... Fr dinner?,huh so late... fr dinner?
ham,my ex-wife was not able to have kids. Do you want kids one day?,my ex-wife was not able to have kids. do you want kids one day?
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,hope ur head doesn't hurt 2 much ! am ploughing my way through a pile of ironing ! staying in with a chinky tonight come round if you like.
ham,Ryder unsold.now gibbs.,ryder unsold.now gibbs.
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,guess which pub im in? im as happy as a pig in clover or whatever the saying is!
ham,Ok set let u noe e details later...,ok set let u noe e details later...
ham,Anything lar then Ì_ not going home 4 dinner?,anything lar then ì_ not going home 4 dinner?
ham,Bring tat cd don forget,bring tat cd don forget
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,stop calling everyone saying i might have cancer. my throat hurts to talk. i can't be answering everyones calls. if i get one more call i'm not babysitting on monday
ham,He telling not to tell any one. If so treat for me hi hi hi,he telling not to tell any one. if so treat for me hi hi hi
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,i realise you are a busy guy and i'm trying not to be a bother. i have to get some exams outta the way and then try the cars. do have a gr8 day
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,18 days to euro2004 kickoff! u will be kept informed of all the latest news and results daily. unsubscribe send get euro stop to 83222.
ham,Yes we are chatting too.,yes we are chatting too.
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","wa, ur openin sentence very formal... anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...haha... so anythin special happened?"
ham,7 lor... Change 2 suntec... Wat time u coming?,7 lor... change 2 suntec... wat time u coming?
ham,Aiyah then i wait lor. Then u entertain me. Hee...,aiyah then i wait lor. then u entertain me. hee...
ham,When you guys planning on coming over?,when you guys planning on coming over?
